ADC PZ X[0][58:72, 50:56] image[-11]
ADC PZ X[4][73:80, 28:38] image[-8]
ADC PZ X[7][70:78, 35:50] image[-7]
ADC PZ X[8][70:78, 35:50] image[-7]
ADC PZ X[11][70:76, 47:57] image[-11]
ADC PZ X[16][69:75, 45:55] image[-10]
ADC PZ X[17][69:76, 45:55] image[-10]
ADC PZ X[21][72:80, 30:50] image[-10]
ADC PZ X[36][70:80, 43:55] image[-10]
ADC PZ X[51][66:73, 27:35] image[-8]
ADC PZ X[57][60:75, 51:59] image[-9]
ADC PZ X[58][57:75, 50:59] image[-9]
ADC PZ X[59][57:75, 51:59] image[-9]
ADC PZ X[76][67:80, 33:53] image[-12]
ADC PZ X[84][63:74, 48:54] image[-10]
ADC PZ X[92][60:72, 27:35] image[-10]
T2WI PZ X[0][195:211, 220:245] image[-10]
T2WI PZ X[6][236:252, 220:248] image[-8]
T2WI PZ X[10][215:231, 160:180] image[-10]
T2WI PZ X[11][225:241, 160:180] image[-10]
T2WI PZ X[16][200:220, 220:240] image[-9]
T2WI PZ X[17][200:230, 220:240] image[-9]
T2WI PZ X[21][223:250, 193:230] image[-9]
T2WI PZ X[22][218:235, 140:165] image[-10]
T2WI PZ X[24][190:225, 150:166] image[-10]
T2WI PZ X[36][220:250, 210:240] image[-10]
T2WI PZ X[51][213:230, 145:180] image[-8]
T2WI PZ X[57][170:212, 225:250] image[-9]
T2WI PZ X[58][170:212, 225:250] image[-9]
T2WI PZ X[59][170:212, 225:250] image[-9]
T2WI PZ X[76][224:240, 160:230] image[-12]
T2WI PZ X[84][210:230, 150:180] image[-10]
ADC TZ X[0][60:75, 35:50] image[-10]
ADC TZ X[2][60:68, 34:46] image[-10]
ADC TZ X[15][62:75, 33:50] image[-10]
ADC TZ X[18][55:75, 30:50] image[-10]
ADC TZ X[25][55:70, 30:45] image[-10]
ADC TZ X[37][55:70, 35:50] image[-10]
ADC TZ X[39][60:70, 30:45] image[-10]
ADC TZ X[41][57:70, 35:50] image[-10]
ADC TZ X[50][56:75, 31:50] image[-10]
ADC TZ X[55][60:70, 35:50] image[-10]
ADC TZ X[58][58:65, 38:48] image[-10]
ADC TZ X[68][52:65, 33:50] image[-10]
ADC TZ X[70][51:73, 30:55] image[-10]
ADC TZ X[80][56:80, 30:55] image[-10]
ADC TZ X[83][55:70, 30:50] image[-10]
T2WI TZ X[0][180:205, 175:210] image[-10]
T2WI TZ X[9][160:200, 150:230] image[-10]
T2WI TZ X[12][150:200, 145:200] image[-10]
T2WI TZ X[13][160:200, 145:200] image[-10]
T2WI TZ X[14][167:183, 170:210] image[-10]
T2WI TZ X[21][165:220, 150:220] image[-10]
T2WI TZ X[23][150:210, 150:250] image[-10]
T2WI TZ X[25][145:220, 150:230] image[-10]
T2WI TZ X[45][170:210, 150:220] image[-10]
T2WI TZ X[53][170:220, 165:230] image[-10]
T2WI TZ X[55][165:210, 170:230] image[-10]
T2WI TZ X[63][140:180, 160:220] image[-10]
T2WI TZ X[68][150:200, 160:230] image[-10]
T2WI TZ X[81][160:230, 150:220] image[-10]
T2WI TZ X[83][160:230, 150:240] image[-10]
ADC AS X[2][50:60, 32:45] image[-10]
ADC AS X[21][50:56, 35:48] image[-10]
ADC AS X[49][50:56, 37:46] image[-10]
ADC AS X[82][42:50, 25:50] image[-10]
ADC AS X[112][55:62, 32:45] image[-9]
ADC AS X[137][48:56, 40:52] image[-11]
ADC AS X[139][52:60, 34:48] image[-8]
ADC AS X[164][50:60, 30:50] image[-11]
ADC AS X[174][55:65, 28:50] image[-11]
ADC AS X[181][52:59, 30:50] image[-11]
T2WI AS X[0][150:180, 165:200] image[-10]
T2WI AS X[2][145:165, 170:200] image [-10]
T2WI AS X[3][150:170, 167:210] image[-10]
T2WI AS X[22][160:176, 160:200] image[-10]
T2WI AS X[29][150:166, 165:200] image[-10]
T2WI AS X[30][150:168, 170:210] image[-10]
T2WI AS X[49][135:151, 180:215] image[-10]
T2WI AS X[54][148:170, 170:220] image[-10]
T2WI AS X[73][140:160, 170:220] image[-10]
T2WI AS X[79][155:171, 165:210] image[-10]
